Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,Data.Infrastructure.Telephone Lines,Data.Infrastructure.Telephone Lines per 100 People,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Data.Urban Development.Population Density,Data.Urban Development.Urban Population Percent,Data.Urban Development.Urban Population Percent Growth
Canada,2001,10.9,7.1,1.49,81.9,76.7,79.23658537,0.882998577,30769700,8727000,28.42909462,20840000,67.88843038,676130,7.43530276,1.488802296,5.037658726,9093510,6314558,-0.927814212,9984670,3.383698924,79.478,1.355943935
Canada,2002,10.6,7.1,1.505,82.1,77,79.48780488,1.009521666,31081900,10649000,34.36625958,21126000,68.17744388,675020,7.423096252,1.476100238,5.045356523,9093510,6275436,-0.621479659,9984670,3.418031101,79.81,1.426376381
Canada,2003,10.7,7.1,1.52,82.1,77.2,79.5902439,0.897131277,31362000,11872000,37.94941948,20622000,65.91921568,675170,7.42474578,1.458006505,5.028421369,9093510,6307525,0.510040038,9984670,3.448833289,79.888,0.994818992
Canada,2004,10.5,7.2,1.53,82.4,77.4,79.83902439,0.996232739,31676000,13291000,42.07126881,20612000,65.24512774,675350,7.426725214,1.438723324,5.011596182,9093510,6345653,0.602664649,9984670,3.48336341,79.967,1.09507088
Canada,2005,10.65,7.25,1.53,82.6,77.8,80.14146341,1.002034424,31995000,15020000,47.06386648,20563000,64.43237593,675510,7.428484711,1.419565557,4.994661027,9093510,6384602,0.611914239,9984670,3.518443373,80.045,1.09952778
Canada,2006,10.65,7.1,1.54,82.7,78,80.29268293,0.985903767,32312000,17016600,52.75959279,18148000,56.26747352,675690,7.430464144,1.400903689,4.977835841,9093510,6422979,0.599287482,9984670,3.5533034,80.122,1.082053833
Canada,2007,10.9,7,1.5862,83,78.4,80.64390244,0.796844597,32570505,18749100,57.49320536,18236000,55.9198091,659540,7.252864955,1.385056818,4.960900686,9093510,6444726,0.338009314,9984670,3.581730817,80.213,0.91035488
Canada,2008,11.2,7.1,1.6589,82.748,78.105,80.36987805,0.969853611,32887928,20277400,61.47310755,18282026,55.42391779,652824,7.179010085,1.358644424,4.913724184,9093510,6447349,0.040691666,9984670,3.61663736,80.396,1.197738536
Canada,2009,11.3,7.2,1.6808,82.886,78.312,80.54321951,1.082197086,33245773,22092500,66.20487722,18250000,54.69000834,646108,7.105155215,1.33111659,4.866547681,9093510,6456994,0.149484585,9984670,3.655989052,80.578,1.308319243
Canada,2010,11.3,7.1,1.668,83.023,78.521,80.71709756,1.144840183,33628571,23811900,70.54830532,18708000,55.42681163,639402,7.031410314,1.30323706,4.819481146,9093510,6470810,0.213740946,9984670,3.698084788,80.758,1.367975607
Canada,2011,11.1,7.1,1.6269,83.162,78.733,80.8934878,1.113959721,34005274,25825400,75.676078,18394000,53.89987294,632686,6.957555443,1.276184394,4.772304644,9093510,6482425,0.179337488,9984670,3.739510266,80.937,1.335367053
Canada,2012,11,7.2,1.61,83.302,78.941,81.06831707,0.987617711,34342780,27387200,79.41215888,18202000,52.77867456,625970,6.883700573,1.251150897,4.725128141,9093510,6485634,0.049490831,9984670,3.776625307,81.115,1.207298991
Canada,2013,11,7.2,1.61,83.441,79.14,81.23804878,1.19118433,34754312,27887963,80.05046389,17647000,50.65448976,653460,7.186004084,1.32113103,5.049205422,9093510,6501489,0.244165053,9984670,3.82188088,81.293,1.410385947
Sao Tome and Principe,1980,40.942,10.531,6.455,61.877,58.96,60.38292683,2.807278722,92622,0,0,11764932.67,34.04391209,370,38.54166667,0.010796571,1.041666667,960,61956,2.254218898,960,96.48125,33.109,3.934072296
Sao Tome and Principe,1981,40.915,10.581,6.409,62.117,58.983,60.51178049,2.485533791,94953,0,0,5882865.333,17.43333442,370,38.54166667,0.010531526,1.041666667,960,63161,1.926256638,960,98.909375,33.482,3.60601368
Sao Tome and Principe,1982,40.792,10.688,6.348,62.296,58.958,60.58629268,2.123615836,96991,0,0,798,0.822756751,370,38.54166667,0.010310235,1.041666667,960,64153,1.558383329,960,101.0322917,33.857,3.237169558
Sao Tome and Principe,1983,40.58,10.79,6.271,62.441,58.929,60.64217073,1.849965677,98802,0,0,1222,1.236817068,370,38.54166667,0.010121253,1.041666667,960,64393,0.373407619,960,102.91875,34.826,4.673177668
Sao Tome and Principe,1984,40.292,10.841,6.181,62.574,58.932,60.70858537,1.718912263,100515,0,0,1555,1.547032781,370,38.54166667,0.009948764,1.041666667,960,64443,0.077618061,960,104.703125,35.887,4.719878305
Sao Tome and Principe,1985,39.935,10.821,6.078,62.709,58.987,60.80260976,1.784705229,102325,0,0,1765,1.724896164,370,38.54166667,0.009772783,1.041666667,960,64503,0.093062219,960,106.5885417,36.963,4.737400279
Sao Tome and Principe,1986,39.519,10.724,5.967,62.853,59.099,60.93021951,1.97978367,104371,0,0,1874,1.795517912,380,39.58333333,0.019162411,2.083333333,960,64659,0.241557232,960,108.7197917,38.049,4.876246512
Sao Tome and Principe,1987,39.056,10.558,5.849,63.008,59.26,61.08829268,2.191933484,106684,0,0,2001,1.87563271,380,39.58333333,0.018746954,2.083333333,960,64918,0.399762836,960,111.1291667,39.149,5.042920239
Sao Tome and Principe,1988,38.569,10.357,5.73,63.167,59.444,61.26009756,2.341059691,109211,0,0,2117,1.938449424,380,39.58333333,0.018313174,2.083333333,960,65243,0.499382573,960,113.7614583,40.26,5.137948519
Sao Tome and Principe,1989,38.08,10.147,5.613,63.325,59.631,61.43295122,2.427020374,111894,0,0,2240,2.00189465,380,39.58333333,0.017874059,2.083333333,960,65590,0.530448455,960,116.55625,41.382,5.176625385
Sao Tome and Principe,1990,37.61,9.94,5.501,63.484,59.814,61.6042439,2.430584779,114647,0,0,2200,1.918933771,420,43.75,0.017444852,2.083333333,960,65909,0.485175744,960,119.4239583,42.511,5.123066285
Sao Tome and Principe,1991,37.176,9.747,5.395,63.643,59.989,61.77143902,2.368647468,117395,0,0,2200,1.874015077,420,43.75,0.017036501,2.083333333,960,66154,0.371035462,960,122.2864583,43.648,5.008097954
Sao Tome and Principe,1992,36.786,9.575,5.296,63.802,60.156,61.93453659,2.32299363,120154,0,0,2218,1.845964346,420,43.75,0.016645305,2.083333333,960,66333,0.270215355,960,125.1604167,44.793,4.912373274
Sao Tome and Principe,1993,36.445,9.423,5.203,63.96,60.319,62.09509756,2.283269959,122929,0,0,2360,1.919807368,420,43.75,0.016269554,2.083333333,960,66672,0.509756376,960,128.0510417,45.764,4.426675221
Sao Tome and Principe,1994,36.157,9.287,5.115,64.118,60.481,62.25514634,2.171820619,125628,0,0,2386,1.899258127,420,43.75,0.015920018,2.083333333,960,66938,0.398174315,960,130.8625,46.717,4.233887678
Sao Tome and Principe,1995,35.932,9.169,5.032,64.275,60.643,62.41470732,1.97592365,128135,0,0,2460,1.919850158,440,45.83333333,0.023412807,3.125,960,67049,0.165687754,960,133.4739583,47.673,4.001335278
Sao Tome and Principe,1996,35.79,9.068,4.956,64.428,60.801,62.57026829,1.735352798,130378,0,0,2499,1.916734418,450,46.875,0.030680023,4.166666667,960,66974,-0.1119211,960,135.8104167,48.631,3.724424358
Sao Tome and Principe,1997,35.745,8.98,4.887,64.574,60.951,62.71831707,1.480797973,132323,0,0,2596,1.96186604,450,46.875,0.030229061,4.166666667,960,66701,-0.408453906,960,137.8364583,49.592,3.438405465
Sao Tome and Principe,1998,35.797,8.9,4.826,64.712,61.096,62.85990244,1.281029112,134029,0,0,4300,3.208260899,460,47.91666667,0.037305359,5.208333333,960,66277,-0.63770163,960,139.6135417,50.55,3.194297404
Sao Tome and Principe,1999,35.935,8.82,4.773,64.847,61.236,62.99746341,1.202184466,135650,0,0,4295,3.166236638,460,47.91666667,0.036859565,5.208333333,960,65778,-0.755749309,960,141.3020833,51.509,3.081101712
Sao Tome and Principe,2000,36.143,8.735,4.727,64.984,61.378,63.13702439,1.278922818,137396,0,0,4526,3.294127922,470,48.95833333,0.043669394,6.25,960,65308,-0.717089566,960,143.1208333,52.467,3.122259819
Sao Tome and Principe,2001,36.408,8.639,4.687,65.139,61.534,63.29253659,1.468107171,139428,0,0,4614,3.309234874,490,51.04166667,0.043032963,6.25,960,64940,-0.565077359,960,145.2375,53.424,3.275044365
Sao Tome and Principe,2002,36.717,8.522,4.654,65.327,61.717,63.47797561,1.674938076,141783,0,0,5441,3.837554573,510,53.125,0.049371222,7.291666667,960,64686,-0.391897189,960,147.690625,54.377,3.442633072
Sao Tome and Principe,2003,37.04,8.386,4.625,65.556,61.936,63.70185366,1.861493852,144447,1980,1.370744979,6366,4.407152797,510,53.125,0.048460681,7.291666667,960,64529,-0.243005963,960,150.465625,55.327,3.59367397
Sao Tome and Principe,2004,37.343,8.23,4.598,65.829,62.19,63.96512195,2.061038622,147455,4819,3.268115696,6970,4.726865823,540,56.25,0.05425384,8.333333333,960,64512,-0.026348215,960,153.5989583,56.25,3.715251589
Sao Tome and Principe,2005,37.59,8.059,4.572,66.139,62.473,64.26129268,2.27098869,150842,7745,5.134511608,7050,4.673764601,500,52.08333333,0.053035627,8.333333333,960,64645,0.20595097,960,157.1270833,57.144,3.848174939
Sao Tome and Principe,2006,37.735,7.879,4.542,66.471,62.773,64.57690244,2.470522464,154615,11953,7.730815251,7112,4.599812437,490,51.04166667,0.051741422,8.333333333,960,64923,0.429118959,960,161.0572917,58.01,3.974620463
Sao Tome and Principe,2007,37.739,7.699,4.506,66.805,63.071,64.89246341,2.674517545,158806,18424,11.60157677,7593,4.781305492,490,51.04166667,0.05037593,8.333333333,960,65353,0.660139337,960,165.4229167,58.847,4.10770572
Sao Tome and Principe,2008,37.589,7.527,4.462,67.12,63.348,65.188,2.845664957,163390,30099,18.42156803,7654,4.684497215,495,51.5625,0.052022768,8.854166667,960,65920,0.863853993,960,170.1979167,59.655,4.208600223
Sao Tome and Principe,2009,37.284,7.372,4.411,67.401,63.592,65.45004878,2.932881793,168253,50551,30.04463516,7643,4.542563877,490,51.04166667,0.053490874,9.375,960,66571,0.982716168,960,175.2635417,60.434,4.230565789
Sao Tome and Principe,2010,36.828,7.235,4.352,67.642,63.796,65.67209756,2.920911737,173240,80829,46.65723851,7694,4.441237589,490,51.04166667,0.051951051,9.375,960,67243,1.004387656,960,180.4583333,61.185,4.156049559
Sao Tome and Principe,2011,36.234,7.116,4.287,67.841,63.961,65.85368293,2.838571317,178228,102730,57.63965258,7804,4.378661041,485,50.52083333,0.047691721,8.854166667,960,67892,0.960528345,960,185.6541667,61.907,4.011946378
Sao Tome and Principe,2012,35.524,7.014,4.217,68.008,64.094,66.00326829,2.738926899,183177,115038,62.8015526,7960,4.345523728,487,50.72916667,0.047495046,9.0625,960,68508,0.903231947,960,190.809375,62.6,3.851946173
Sao Tome and Principe,2013,34.742,6.919,4.145,68.156,64.21,66.13487805,2.65102051,188098,122172,64.95124882,8035,4.271709428,497,51.77083333,0.046252485,9.0625,960,69098,0.857526002,960,195.9354167,63.265,3.707377578
Lao PDR,1980,42.642,16.809,6.233,49.995,47.511,48.72270732,1.195331155,3200598,0,0,5500,0.171842887,16050,6.95407279,0.243704458,3.379549393,230800,2813102,0.895432921,236800,13.86740901,12.107,3.399891003
Lao PDR,1981,42.665,16.644,6.277,50.273,47.797,49.00480488,1.560159628,3250924,0,0,5500,0.169182669,16060,6.958405546,0.239931786,3.379549393,230800,2848557,1.25247612,236800,14.08545927,12.377,3.765908131
Lao PDR,1982,42.727,16.462,6.315,50.576,48.104,49.30985366,1.973703897,3315725,0,0,5500,0.165876241,16090,6.971403813,0.235242669,3.379549393,230800,2896286,1.661667628,236800,14.36622617,12.65,4.155349666
Lao PDR,1983,42.819,16.258,6.345,50.906,48.44,49.64292683,2.31118616,3393250,0,0,5400,0.159139468,16170,7.006065858,0.231341634,3.401213172,230800,2954503,1.990122065,236800,14.70212305,12.93,4.500483302
Lao PDR,1984,42.926,16.026,6.363,51.271,48.816,50.01356098,2.569891122,3481583,0,0,5600,0.160846374,16200,7.019064125,0.225472149,3.401213172,230800,3021527,2.243188554,236800,15.08484835,13.214,4.742528405
Lao PDR,1985,43.031,15.762,6.369,51.677,49.237,50.4272439,2.711593923,3577281,0,0,5800,0.162134314,16300,7.062391681,0.220838117,3.42287695,230800,3094205,2.376867449,236800,15.4994844,13.504,4.882576997
Lao PDR,1986,43.125,15.459,6.361,52.136,49.715,50.89597561,2.768236687,3677692,0,0,5961,0.162085351,16350,7.084055459,0.215352455,3.431542461,230800,3170023,2.420783616,236800,15.93454073,13.804,4.965566924
Lao PDR,1987,43.204,15.112,6.342,52.659,50.255,51.42768293,2.801914742,3782195,0,0,6100,0.161282007,16380,7.097053726,0.209666609,3.435875217,230800,3248225,2.436984992,236800,16.38732669,14.118,5.05099972
Lao PDR,1988,43.249,14.722,6.313,53.247,50.855,52.02182927,2.844904239,3891340,0,0,6231,0.16012479,16400,7.105719237,0.203785842,3.435875217,230800,3329469,2.470413852,236800,16.8602253,14.439,5.093262857
Lao PDR,1989,43.233,14.294,6.274,53.897,51.507,52.67285366,2.87602959,4004881,0,0,6468,0.161502926,16500,7.149046794,0.198507771,3.444540728,230800,3413520,2.493118513,236800,17.35217071,14.766,5.115437385
Lao PDR,1990,43.123,13.833,6.222,54.603,52.205,53.3747561,2.900339597,4122737,0,0,6265,0.151962155,16520,7.157712305,0.192833062,3.444540728,230800,3500286,2.510066249,236800,17.86281196,15.098,5.123825035
Lao PDR,1991,42.867,13.342,6.152,55.356,52.942,54.11956098,2.911147598,4244520,0,0,6910,0.162798149,16600,7.19237435,0.188242722,3.46187175,230800,3589293,2.511056773,236800,18.39046794,15.437,5.13168301
Lao PDR,1992,42.411,12.824,6.057,56.145,53.71,54.89780488,2.912053987,4369940,0,0,7266,0.166272306,16620,7.201039861,0.182840039,3.46187175,230800,3680276,2.50325022,236800,18.93388215,15.782,5.122278199
Lao PDR,1993,41.737,12.288,5.934,56.955,54.498,55.69653659,2.884511222,4497827,290,0.006447558,8510,0.189202475,16640,7.209705373,0.177641337,3.46187175,230800,3772193,2.466878058,236800,19.48798527,16.133,5.084123301
Lao PDR,1994,40.847,11.745,5.782,57.77,55.293,56.50129268,2.806812454,4625861,340,0.007349983,8598,0.185868101,16650,7.214038128,0.172724602,3.46187175,230800,3863057,2.380230899,236800,20.0427253,16.49,4.995536207
Lao PDR,1995,39.753,11.205,5.603,58.576,56.083,57.29909756,2.67224944,4751142,625,0.013154732,18126,0.381508277,16900,7.322357019,0.173011036,3.56152513,230800,3950385,2.235420357,236800,20.58553726,16.854,4.85564127
Lao PDR,1996,38.467,10.677,5.398,59.364,56.86,58.08146341,2.501113995,4871472,1539,0.031592094,16602,0.340800481,17000,7.365684575,0.169969159,3.587521664,230800,4024908,1.868901095,236800,21.10689775,17.378,5.562827389
Lao PDR,1997,37.008,10.17,5.168,60.126,57.618,58.84141463,2.335656035,4986592,3790,0.076003812,19468,0.390406915,17000,7.365684575,0.165243116,3.570190641,230800,4077337,1.294202577,236800,21.60568458,18.234,7.143977874
Lao PDR,1998,35.439,9.686,4.922,60.866,58.356,59.58039024,2.184526989,5096724,4915,0.096434494,24553,0.48174082,17560,7.608318891,0.167558612,3.70017331,230800,4122230,1.095019983,236800,22.08285962,19.12,6.929277904
Lao PDR,1999,33.844,9.232,4.669,61.581,59.072,60.29590244,2.023332259,5200898,6453,0.124074727,28472,0.547443922,17800,7.712305026,0.165740609,3.734835355,230800,4158690,0.880584177,236800,22.5342201,20.039,6.717845659
Lao PDR,2000,32.3,8.812,4.42,62.269,59.763,60.98543902,1.852564505,5298146,12078,0.227966538,35107,0.662628021,18080,7.833622184,0.165529602,3.79982669,230800,4186012,0.654836988,236800,22.95557192,20.991,6.493915263
Lao PDR,2001,30.921,8.435,4.19,62.927,60.423,61.64446341,1.686946208,5388281,12681,0.235344074,40876,0.758609286,18510,8.019930676,0.17074091,3.986135182,230800,4204098,0.431127316,236800,23.34610485,21.977,6.277239316
Lao PDR,2002,29.816,8.105,3.991,63.551,61.05,62.27,1.508310163,5470169,29545,0.540111284,52625,0.962036091,19010,8.236568458,0.177325417,4.202772964,230800,4212413,0.197587877,236800,23.70090555,22.993,6.027609547
Lao PDR,2003,29.024,7.82,3.829,64.146,61.647,62.86602439,1.363129202,5545245,55160,0.994726112,61910,1.116452023,19090,8.271230503,0.171317949,4.116117851,230800,4211946,-0.011086897,236800,24.02619151,24.044,5.832714132
Lao PDR,2004,28.544,7.575,3.706,64.714,62.217,63.43504878,1.322518804,5619069,112275,1.998106804,69760,1.241486801,19390,8.401213172,0.174406116,4.24610052,230800,4207222,-0.112220127,236800,24.34605286,25.126,5.724245414
Lao PDR,2005,28.354,7.365,3.619,65.258,62.76,63.97853659,1.414438141,5699112,204191,3.582856417,75000,1.315994492,19590,8.487868284,0.175465932,4.332755633,230800,4203551,-0.087292814,236800,24.69285962,26.242,5.760261103
Lao PDR,2006,28.383,7.182,3.562,65.783,63.279,64.50046341,1.593348381,5790646,657528,11.35500253,90806,1.568149737,20090,8.704506066,0.181326919,4.549393414,230800,4204820,0.030184206,236800,25.08945407,27.386,5.860401994
Lao PDR,2007,28.525,7.019,3.52,66.292,63.777,65.00382927,1.801842532,5895930,1009565,17.12308321,92151,1.562959533,20600,8.925476603,0.186569379,4.766031196,230800,4213408,0.204033509,236800,25.54562392,28.537,5.9188451
Lao PDR,2008,28.653,6.866,3.481,66.79,64.255,65.49158537,1.970774179,6013278,1478409,24.58574175,94828,1.576976817,20460,8.864818024,0.177939553,4.636048527,230800,4228056,0.347049154,236800,26.05406412,29.688,5.924891901
Lao PDR,2009,28.671,6.715,3.432,67.28,64.72,65.96878049,2.071252549,6139127,2022133,32.93844548,127799,2.081712921,22770,9.865684575,0.211756492,5.632582322,230800,4245882,0.420725908,236800,26.59933709,30.839,5.87495108
Lao PDR,2010,28.532,6.563,3.368,67.764,65.172,66.43639024,2.076966954,6267968,3234642,51.6059112,100228,1.59905092,23460,10.16464471,0.216976219,5.89254766,230800,4263158,0.406062816,236800,27.15757366,31.985,5.725700513
Lao PDR,2011,28.226,6.407,3.29,68.245,65.616,66.89843902,2.017570299,6395713,4003395,62.59497573,103102,1.612048571,23780,10.30329289,0.218896627,6.065857886,230800,4277261,0.330265127,236800,27.71106153,33.123,5.513634011
Lao PDR,2012,27.781,6.248,3.2,68.722,66.053,67.35495122,1.944796721,6521314,5480851,84.04519396,107643,1.650633599,23780,10.30329289,0.214680661,6.065857886,230800,4287634,0.242221418,236800,28.25525997,34.252,5.296481628
Lao PDR,2013,27.272,6.092,3.108,69.195,66.483,67.80592683,1.891324952,6645827,4300000,64.70225602,450000,6.771166327,24690,10.69757366,0.218182026,6.282495667,230800,4295331,0.179355317,236800,28.79474437,35.368,5.097592015
Arab World,1980,41.59731888,11.61918563,6.35641269,59.46768825,56.34802691,57.86959232,3.272429223,160508834,0,0,1779248,1.329111308,4307380,31.6161395,0.309316308,3.65179337,13623991,89366623,2.331243512,13781751,11.78133735,44.32292384,4.479537715
Arab World,1981,41.29479252,11.23786685,6.295553427,60.21670146,56.84239993,58.48831946,3.205090257,165653287,0,0,2313218,1.482461346,4318130,31.69504443,0.299154945,3.645040576,13623991,91337252,2.205106262,13781751,12.15893984,44.86239719,4.461238912
Arab World,1982,40.922756,10.84780842,6.224004541,60.98163446,57.36579486,59.12915056,3.128342391,170835489,0,0,2847188,1.635811385,4276496,31.38945115,0.291974462,3.669086393,13623991,93235201,2.077957195,13781751,12.53931311,45.42398564,4.419306008
Arab World,1983,40.47572428,10.44945611,6.14093853,61.75078542,57.93636655,59.79558417,3.062970716,176068130,2330,0.001365523,3630129,1.993694963,4280031,31.41539803,0.28454383,3.685197678,13623991,95089340,1.988668421,13781751,12.9233886,45.99287175,4.353723533
Arab World,1984,39.95149321,10.04699549,6.046455185,62.50839623,58.55869242,60.48244441,2.997669141,181346070,3564,0.002032515,4043409,2.155983703,4286600,31.46361444,0.275473298,3.674694148,13623991,96850645,1.852263356,13781751,13.31078903,46.59346914,4.342661825
Arab World,1985,39.35019709,9.65002494,5.940771011,63.2341531,59.22067649,61.17400842,2.914809789,186631963,4936,0.002740589,4442616,2.301380674,4342581,31.8745146,0.270184695,3.709126056,13623991,98478676,1.680970736,13781751,13.69877322,47.233756,4.329065154
Arab World,1986,38.66925346,9.268278011,5.821946329,63.91121817,59.9030223,61.85254627,2.901452631,192047001,7976,0.00448781,5059805,2.548258228,4410048,32.36972191,0.263970797,3.728848617,13623991,100149262,1.696393644,13781751,14.09623663,47.85169103,4.247660101
Arab World,1987,37.91470885,8.913334911,5.69006861,64.52573034,60.57915913,62.49791489,2.851009894,197522280,20756,0.011380109,5572491,2.730517896,4489428,32.95237056,0.258278712,3.752483395,13623991,101799197,1.647475944,13781751,14.49812173,48.46191594,4.162609485
Arab World,1988,37.10590924,8.592237347,5.547704417,65.07699235,61.22068474,63.09520381,2.765725973,202985205,33793,0.017361085,6009086,2.866934803,4564900,33.50633452,0.253777116,3.789051241,13623991,103517179,1.68761842,13781751,14.89910005,49.00259971,3.912267431
Arab World,1989,36.26664013,8.309252599,5.397492635,65.56762532,61.80679272,63.63492026,2.697355209,208460437,39447,0.019766805,6453138,2.999857485,4645420,34.09735077,0.247668098,3.797639032,13623991,105353253,1.773690143,13781751,15.3009817,49.46127142,3.658620912
Arab World,1990,35.42027348,8.065046448,5.243884382,66.0016112,62.32902155,64.11452277,2.615088541,213911862,58750,0.028727652,6994746,3.170279981,4716228,34.617081,0.241963206,3.807239743,13623991,107240325,1.791185318,13781751,15.70111592,49.86705065,3.456939528
